cod;nome;período;valor
3106200;31;2017;543
5208707;52;2017;585
1600303;16;2017;257
1501402;15;2017;1072
3205309;32;2017;107
1400100;14;2017;149
3304557;33;2017;1845
1302603;13;2017;1187
1200401;12;2017;324
3550308;35;2017;1011
1100205;11;2017;184
1721000;17;2017;95
5208707;52;2018;588
1302603;13;2018;1053
2800308;28;2018;352
4106902;41;2018;406
2304400;23;2018;1677
2927408;29;2018;1545
2111300;21;2018;315
2704302;27;2018;518
2211001;22;2018;320
1400100;14;2018;270
3304557;33;2018;1865
5103403;51;2018;130
1501402;15;2018;1072
5002704;50;2018;133
2507507;25;2018;255
1200401;12;2018;241
1721000;17;2018;105
2408102;24;2018;458
3205309;32;2018;87
3550308;35;2018;535
1600303;16;2018;296
4314902;43;2018;544
1100205;11;2018;165
3106200;31;2018;444
5300108;53;2018;530
4205407;42;2018;94
2611606;26;2018;666
3106200;31;2019;373
2611606;26;2019;523
5208707;52;2019;436
5300108;53;2019;480
1302603;13;2019;1076
4205407;42;2019;51
2800308;28;2019;233
1501402;15;2019;622
4106902;41;2019;319
1200401;12;2019;189
5002704;50;2019;113
2304400;23;2019;751
2927408;29;2019;1251
3550308;35;2019;454
2408102;24;2019;278
2111300;21;2019;280
1400100;14;2019;150
1600303;16;2019;237
2507507;25;2019;188
2704302;27;2019;362
1100205;11;2019;145
2211001;22;2019;234
4314902;43;2019;357
3205309;32;2019;79
1721000;17;2019;99
3304557;33;2019;746
5103403;51;2019;111
3304557;33;2020;1316
2304400;23;2020;1262
2800308;28;2020;291
3205309;32;2020;87
1200401;12;2020;178
1600303;16;2020;265
1501402;15;2020;428
5300108;53;2020;453
3106200;31;2020;323
1400100;14;2020;151
5103403;51;2020;132
5002704;50;2020;148
2507507;25;2020;237
1721000;17;2020;105
3550308;35;2020;380
4314902;43;2020;313
2408102;24;2020;294
1100205;11;2020;168
4205407;42;2020;58
1302603;13;2020;815
2611606;26;2020;620
4106902;41;2020;336
5208707;52;2020;400
2927408;29;2020;1583
2111300;21;2020;306
2211001;22;2020;298
2704302;27;2020;400
2704302;27;2021;329
3106200;31;2021;292
5208707;52;2021;288
3205309;32;2021;77
1400100;14;2021;173
5300108;53;2021;401
5103403;51;2021;70
1302603;13;2021;1230
2927408;29;2021;1747
2111300;21;2021;269
3304557;33;2021;1255
2211001;22;2021;327
2800308;28;2021;203
1200401;12;2021;111
2304400;23;2021;1027
1600303;16;2021;328
4106902;41;2021;320
3550308;35;2021;325
2611606;26;2021;654
4205407;42;2021;54
1100205;11;2021;189
4314902;43;2021;319
1721000;17;2021;77
2408102;24;2021;239
2507507;25;2021;212
5002704;50;2021;147
1501402;15;2021;360
1100205;11;2022;211
1400100;14;2022;148
1721000;17;2022;77
1600303;16;2022;241
2611606;26;2022;635
5002704;50;2022;170
4106902;41;2022;361
1501402;15;2022;339
2507507;25;2022;196
3205309;32;2022;90
5103403;51;2022;90
5300108;53;2022;357
4205407;42;2022;48
2408102;24;2022;241
1200401;12;2022;93
2211001;22;2022;343
3304557;33;2022;1042
5208707;52;2022;214
2304400;23;2022;918
2704302;27;2022;379
4314902;43;2022;376
3550308;35;2022;344
2800308;28;2022;240
2111300;21;2022;280
2927408;29;2022;1568
1302603;13;2022;1130
3106200;31;2022;312
5208707;52;2023;254
1100205;11;2023;211
5103403;51;2023;104
5002704;50;2023;197
4314902;43;2023;317
4205407;42;2023;52
4106902;41;2023;241
3550308;35;2023;282
3304557;33;2023;1351
3205309;32;2023;105
3106200;31;2023;326
2927408;29;2023;1496
2800308;28;2023;180
2704302;27;2023;431
2611606;26;2023;672
2507507;25;2023;221
2408102;24;2023;201
2304400;23;2023;839
2211001;22;2023;273
2111300;21;2023;220
1721000;17;2023;119
1600303;16;2023;326
1501402;15;2023;336
1400100;14;2023;145
1302603;13;2023;976
1200401;12;2023;122
5300108;53;2023;347
